6add2(9)	P1,M2,M3,P5,M6,M9
7-5add4(--9,-13)	P1,M3,M4,d5,m7,d9,m13
7-5add4(--9,--13)	P1,M3,M4,d5,m7,d9,d13
7-5add4(11,13)	P1,M3,M4,d5,m7,M11,M13
7-5add4(11,+13)	P1,M3,M4,d5,m7,M11,a13
7-5add4(11,-13)	P1,M3,M4,d5,m7,M11,m13
7-5add4(11,--13)	P1,M3,M4,d5,m7,M11,d13
7-5add4(+11,13)	P1,M3,M4,d5,m7,a11,M13
7-5add4(+11,+13)	P1,M3,M4,d5,m7,a11,a13
7-5add4(+11,-13)	P1,M3,M4,d5,m7,a11,m13
7-5add4(+11,--13)	P1,M3,M4,d5,m7,a11,d13
7-5add4(-11,13)	P1,M3,M4,d5,m7,m11,M13
7-5add4(-11,+13)	P1,M3,M4,d5,m7,m11,a13
7-5add4(-11,-13)	P1,M3,M4,d5,m7,m11,m13
7-5add4(-11,--13)	P1,M3,M4,d5,m7,m11,d13
7-5add4(--11,13)	P1,M3,M4,d5,m7,d11,M13
7-5add4(--11,+13)	P1,M3,M4,d5,m7,d11,a13
7-5add4(--11,-13)	P1,M3,M4,d5,m7,d11,m13
7-5add4(--11,--13)	P1,M3,M4,d5,m7,d11,d13
7-5add4(9,11,13)	P1,M3,M4,d5,m7,M9,M11,M13
7-5add4(9,11,+13)	P1,M3,M4,d5,m7,M9,M11,a13
7-5add4(9,11,-13)	P1,M3,M4,d5,m7,M9,M11,m13
7-5add4(9,11,--13)	P1,M3,M4,d5,m7,M9,M11,d13
7-5add4(9,+11,13)	P1,M3,M4,d5,m7,M9,a11,M13
7-5add4(9,+11,+13)	P1,M3,M4,d5,m7,M9,a11,a13
7-5add4(9,+11,-13)	P1,M3,M4,d5,m7,M9,a11,m13
7-5add4(9,+11,--13)	P1,M3,M4,d5,m7,M9,a11,d13
7-5add4(9,-11,13)	P1,M3,M4,d5,m7,M9,m11,M13
7-5add4(9,-11,+13)	P1,M3,M4,d5,m7,M9,m11,a13
7-5add4(9,-11,-13)	P1,M3,M4,d5,m7,M9,m11,m13
7-5add4(9,-11,--13)	P1,M3,M4,d5,m7,M9,m11,d13
7-5add4(9,--11,13)	P1,M3,M4,d5,m7,M9,d11,M13
7-5add4(9,--11,+13)	P1,M3,M4,d5,m7,M9,d11,a13
7-5add4(9,--11,-13)	P1,M3,M4,d5,m7,M9,d11,m13
7-5add4(9,--11,--13)	P1,M3,M4,d5,m7,M9,d11,d13
7-5add4(+9,11,13)	P1,M3,M4,d5,m7,a9,M11,M13
7-5add4(+9,11,+13)	P1,M3,M4,d5,m7,a9,M11,a13
7-5add4(+9,11,-13)	P1,M3,M4,d5,m7,a9,M11,m13
7-5add4(+9,11,--13)	P1,M3,M4,d5,m7,a9,M11,d13
7-5add4(+9,+11,13)	P1,M3,M4,d5,m7,a9,a11,M13
7-5add4(+9,+11,+13)	P1,M3,M4,d5,m7,a9,a11,a13
7-5add4(+9,+11,-13)	P1,M3,M4,d5,m7,a9,a11,m13
7-5add4(+9,+11,--13)	P1,M3,M4,d5,m7,a9,a11,d13
7-5add4(+9,-11,13)	P1,M3,M4,d5,m7,a9,m11,M13
7-5add4(+9,-11,+13)	P1,M3,M4,d5,m7,a9,m11,a13
7-5add4(+9,-11,-13)	P1,M3,M4,d5,m7,a9,m11,m13
7-5add4(+9,-11,--13)	P1,M3,M4,d5,m7,a9,m11,d13
7-5add4(+9,--11,13)	P1,M3,M4,d5,m7,a9,d11,M13
7-5add4(+9,--11,+13)	P1,M3,M4,d5,m7,a9,d11,a13
7-5add4(+9,--11,-13)	P1,M3,M4,d5,m7,a9,d11,m13
7-5add4(+9,--11,--13)	P1,M3,M4,d5,m7,a9,d11,d13
7-5add4(-9,11,13)	P1,M3,M4,d5,m7,m9,M11,M13
7-5add4(-9,11,+13)	P1,M3,M4,d5,m7,m9,M11,a13
7-5add4(-9,11,-13)	P1,M3,M4,d5,m7,m9,M11,m13
7-5add4(-9,11,--13)	P1,M3,M4,d5,m7,m9,M11,d13
7-5add4(-9,+11,13)	P1,M3,M4,d5,m7,m9,a11,M13
7-5add4(-9,+11,+13)	P1,M3,M4,d5,m7,m9,a11,a13
7-5add4(-9,+11,-13)	P1,M3,M4,d5,m7,m9,a11,m13
7-5add4(-9,+11,--13)	P1,M3,M4,d5,m7,m9,a11,d13
7-5add4(-9,-11,13)	P1,M3,M4,d5,m7,m9,m11,M13
7-5add4(-9,-11,+13)	P1,M3,M4,d5,m7,m9,m11,a13
7-5add4(-9,-11,-13)	P1,M3,M4,d5,m7,m9,m11,m13
7-5add4(-9,-11,--13)	P1,M3,M4,d5,m7,m9,m11,d13
7-5add4(-9,--11,13)	P1,M3,M4,d5,m7,m9,d11,M13
7-5add4(-9,--11,+13)	P1,M3,M4,d5,m7,m9,d11,a13
7-5add4(-9,--11,-13)	P1,M3,M4,d5,m7,m9,d11,m13
7-5add4(-9,--11,--13)	P1,M3,M4,d5,m7,m9,d11,d13
7-5add4(--9,11,13)	P1,M3,M4,d5,m7,d9,M11,M13
7-5add4(--9,11,+13)	P1,M3,M4,d5,m7,d9,M11,a13
7-5add4(--9,11,-13)	P1,M3,M4,d5,m7,d9,M11,m13
7-5add4(--9,11,--13)	P1,M3,M4,d5,m7,d9,M11,d13
7-5add4(--9,+11,13)	P1,M3,M4,d5,m7,d9,a11,M13
7-5add4(--9,+11,+13)	P1,M3,M4,d5,m7,d9,a11,a13
7-5add4(--9,+11,-13)	P1,M3,M4,d5,m7,d9,a11,m13
7-5add4(--9,+11,--13)	P1,M3,M4,d5,m7,d9,a11,d13
7-5add4(--9,-11,13)	P1,M3,M4,d5,m7,d9,m11,M13
7-5add4(--9,-11,+13)	P1,M3,M4,d5,m7,d9,m11,a13
7-5add4(--9,-11,-13)	P1,M3,M4,d5,m7,d9,m11,m13
7-5add4(--9,-11,--13)	P1,M3,M4,d5,m7,d9,m11,d13
7-5add4(--9,--11,13)	P1,M3,M4,d5,m7,d9,d11,M13
7-5add4(--9,--11,+13)	P1,M3,M4,d5,m7,d9,d11,a13
7-5add4(--9,--11,-13)	P1,M3,M4,d5,m7,d9,d11,m13
7-5add4(--9,--11,--13)	P1,M3,M4,d5,m7,d9,d11,d13
7-5add9(--9)	P1,M3,d5,m7,d9,M9
7-5add9(11)	P1,M3,d5,m7,M9,M11
7-5add9(+11)	P1,M3,d5,m7,M9,a11
7-5add9(-11)	P1,M3,d5,m7,M9,m11
7-5add9(--11)	P1,M3,d5,m7,M9,d11
7-5add9(13)	P1,M3,d5,m7,M9,M13
7-5add9(+13)	P1,M3,d5,m7,M9,a13
7-5add9(-13)	P1,M3,d5,m7,M9,m13
7-5add9(--13)	P1,M3,d5,m7,M9,d13
7-5add9(--9,11)	P1,M3,d5,m7,d9,M9,M11
7-5add9(--9,+11)	P1,M3,d5,m7,d9,M9,a11
7-5add9(--9,-11)	P1,M3,d5,m7,d9,M9,m11
7-5add9(--9,--11)	P1,M3,d5,m7,d9,M9,d11
7-5add9(--9,13)	P1,M3,d5,m7,d9,M9,M13
7-5add9(--9,+13)	P1,M3,d5,m7,d9,M9,a13
7-5add9(--9,-13)	P1,M3,d5,m7,d9,M9,m13
7-5add9(--9,--13)	P1,M3,d5,m7,d9,M9,d13
7-5add9(11,13)	P1,M3,d5,m7,M9,M11,M13
7-5add9(11,+13)	P1,M3,d5,m7,M9,M11,a13
7-5add9(11,-13)	P1,M3,d5,m7,M9,M11,m13
7-5add9(11,--13)	P1,M3,d5,m7,M9,M11,d13
7-5add9(+11,13)	P1,M3,d5,m7,M9,a11,M13
7-5add9(+11,+13)	P1,M3,d5,m7,M9,a11,a13
7-5add9(+11,-13)	P1,M3,d5,m7,M9,a11,m13
7-5add9(+11,--13)	P1,M3,d5,m7,M9,a11,d13
7-5add9(-11,13)	P1,M3,d5,m7,M9,m11,M13
7-5add9(-11,+13)	P1,M3,d5,m7,M9,m11,a13
7-5add9(-11,-13)	P1,M3,d5,m7,M9,m11,m13
7-5add9(-11,--13)	P1,M3,d5,m7,M9,m11,d13
7-5add9(--11,13)	P1,M3,d5,m7,M9,d11,M13
7-5add9(--11,+13)	P1,M3,d5,m7,M9,d11,a13
7-5add9(--11,-13)	P1,M3,d5,m7,M9,d11,m13
7-5add9(--11,--13)	P1,M3,d5,m7,M9,d11,d13
7-5add9(--9,11,13)	P1,M3,d5,m7,d9,M9,M11,M13
7-5add9(--9,11,+13)	P1,M3,d5,m7,d9,M9,M11,a13
7-5add9(--9,11,-13)	P1,M3,d5,m7,d9,M9,M11,m13
7-5add9(--9,11,--13)	P1,M3,d5,m7,d9,M9,M11,d13
7-5add9(--9,+11,13)	P1,M3,d5,m7,d9,M9,a11,M13
7-5add9(--9,+11,+13)	P1,M3,d5,m7,d9,M9,a11,a13
7-5add9(--9,+11,-13)	P1,M3,d5,m7,d9,M9,a11,m13
7-5add9(--9,+11,--13)	P1,M3,d5,m7,d9,M9,a11,d13
7-5add9(--9,-11,13)	P1,M3,d5,m7,d9,M9,m11,M13
7-5add9(--9,-11,+13)	P1,M3,d5,m7,d9,M9,m11,a13
7-5add9(--9,-11,-13)	P1,M3,d5,m7,d9,M9,m11,m13
7-5add9(--9,-11,--13)	P1,M3,d5,m7,d9,M9,m11,d13
7-5add9(--9,--11,13)	P1,M3,d5,m7,d9,M9,d11,M13
7-5add9(--9,--11,+13)	P1,M3,d5,m7,d9,M9,d11,a13
7-5add9(--9,--11,-13)	P1,M3,d5,m7,d9,M9,d11,m13
7-5add9(--9,--11,--13)	P1,M3,d5,m7,d9,M9,d11,d13
7-5add11(9)	P1,M3,d5,m7,M9,M11
7-5add11(+9)	P1,M3,d5,m7,a9,M11
7-5add11(-9)	P1,M3,d5,m7,m9,M11
7-5add11(--9)	P1,M3,d5,m7,d9,M11
7-5add11(--11)	P1,M3,d5,m7,M11,d11
7-5add11(13)	P1,M3,d5,m7,M11,M13
7-5add11(+13)	P1,M3,d5,m7,M11,a13
7-5add11(-13)	P1,M3,d5,m7,M11,m13
7-5add11(--13)	P1,M3,d5,m7,M11,d13
7-5add11(9,--11)	P1,M3,d5,m7,M9,M11,d11
7-5add11(9,13)	P1,M3,d5,m7,M9,M11,M13
7-5add11(9,+13)	P1,M3,d5,m7,M9,M11,a13
7-5add11(9,-13)	P1,M3,d5,m7,M9,M11,m13
7-5add11(9,--13)	P1,M3,d5,m7,M9,M11,d13
7-5add11(+9,--11)	P1,M3,d5,m7,a9,M11,d11
7-5add11(+9,13)	P1,M3,d5,m7,a9,M11,M13
7-5add11(+9,+13)	P1,M3,d5,m7,a9,M11,a13
7-5add11(+9,-13)	P1,M3,d5,m7,a9,M11,m13
7-5add11(+9,--13)	P1,M3,d5,m7,a9,M11,d13
7-5add11(-9,--11)	P1,M3,d5,m7,m9,M11,d11
7-5add11(-9,13)	P1,M3,d5,m7,m9,M11,M13
7-5add11(-9,+13)	P1,M3,d5,m7,m9,M11,a13
7-5add11(-9,-13)	P1,M3,d5,m7,m9,M11,m13
7-5add11(-9,--13)	P1,M3,d5,m7,m9,M11,d13
7-5add11(--9,--11)	P1,M3,d5,m7,d9,M11,d11
7-5add11(--9,13)	P1,M3,d5,m7,d9,M11,M13
7-5add11(--9,+13)	P1,M3,d5,m7,d9,M11,a13
7-5add11(--9,-13)	P1,M3,d5,m7,d9,M11,m13
7-5add11(--9,--13)	P1,M3,d5,m7,d9,M11,d13
7-5add11(--11,13)	P1,M3,d5,m7,M11,d11,M13
7-5add11(--11,+13)	P1,M3,d5,m7,M11,d11,a13
7-5add11(--11,-13)	P1,M3,d5,m7,M11,d11,m13
7-5add11(--11,--13)	P1,M3,d5,m7,M11,d11,d13
7-5add11(9,--11,13)	P1,M3,d5,m7,M9,M11,d11,M13
7-5add11(9,--11,+13)	P1,M3,d5,m7,M9,M11,d11,a13
7-5add11(9,--11,-13)	P1,M3,d5,m7,M9,M11,d11,m13
7-5add11(9,--11,--13)	P1,M3,d5,m7,M9,M11,d11,d13
7-5add11(+9,--11,13)	P1,M3,d5,m7,a9,M11,d11,M13
7-5add11(+9,--11,+13)	P1,M3,d5,m7,a9,M11,d11,a13
7-5add11(+9,--11,-13)	P1,M3,d5,m7,a9,M11,d11,m13
7-5add11(+9,--11,--13)	P1,M3,d5,m7,a9,M11,d11,d13
7-5add11(-9,--11,13)	P1,M3,d5,m7,m9,M11,d11,M13
7-5add11(-9,--11,+13)	P1,M3,d5,m7,m9,M11,d11,a13
7-5add11(-9,--11,-13)	P1,M3,d5,m7,m9,M11,d11,m13
7-5add11(-9,--11,--13)	P1,M3,d5,m7,m9,M11,d11,d13
7-5add11(--9,--11,13)	P1,M3,d5,m7,d9,M11,d11,M13
7-5add11(--9,--11,+13)	P1,M3,d5,m7,d9,M11,d11,a13
7-5add11(--9,--11,-13)	P1,M3,d5,m7,d9,M11,d11,m13
7-5add11(--9,--11,--13)	P1,M3,d5,m7,d9,M11,d11,d13
7-5add13(9)	P1,M3,d5,m7,M9,M13
7-5add13(+9)	P1,M3,d5,m7,a9,M13
7-5add13(-9)	P1,M3,d5,m7,m9,M13
7-5add13(--9)	P1,M3,d5,m7,d9,M13
7-5add13(11)	P1,M3,d5,m7,M11,M13
7-5add13(+11)	P1,M3,d5,m7,a11,M13
7-5add13(-11)	P1,M3,d5,m7,m11,M13
7-5add13(--11)	P1,M3,d5,m7,d11,M13
7-5add13(--13)	P1,M3,d5,m7,M13,d13
7-5add13(9,11)	P1,M3,d5,m7,M9,M11,M13
7-5add13(9,+11)	P1,M3,d5,m7,M9,a11,M13
7-5add13(9,-11)	P1,M3,d5,m7,M9,m11,M13
7-5add13(9,--11)	P1,M3,d5,m7,M9,d11,M13
7-5add13(9,--13)	P1,M3,d5,m7,M9,M13,d13
7-5add13(+9,11)	P1,M3,d5,m7,a9,M11,M13
7-5add13(+9,+11)	P1,M3,d5,m7,a9,a11,M13
7-5add13(+9,-11)	P1,M3,d5,m7,a9,m11,M13
7-5add13(+9,--11)	P1,M3,d5,m7,a9,d11,M13
7-5add13(+9,--13)	P1,M3,d5,m7,a9,M13,d13
7-5add13(-9,11)	P1,M3,d5,m7,m9,M11,M13
7-5add13(-9,+11)	P1,M3,d5,m7,m9,a11,M13
7-5add13(-9,-11)	P1,M3,d5,m7,m9,m11,M13
7-5add13(-9,--11)	P1,M3,d5,m7,m9,d11,M13
7-5add13(-9,--13)	P1,M3,d5,m7,m9,M13,d13
7-5add13(--9,11)	P1,M3,d5,m7,d9,M11,M13
7-5add13(--9,+11)	P1,M3,d5,m7,d9,a11,M13
7-5add13(--9,-11)	P1,M3,d5,m7,d9,m11,M13
7-5add13(--9,--11)	P1,M3,d5,m7,d9,d11,M13
7-5add13(--9,--13)	P1,M3,d5,m7,d9,M13,d13
7-5add13(11,--13)	P1,M3,d5,m7,M11,M13,d13
7-5add13(+11,--13)	P1,M3,d5,m7,a11,M13,d13
7-5add13(-11,--13)	P1,M3,d5,m7,m11,M13,d13
7-5add13(--11,--13)	P1,M3,d5,m7,d11,M13,d13
7-5add13(9,11,--13)	P1,M3,d5,m7,M9,M11,M13,d13
7-5add13(9,+11,--13)	P1,M3,d5,m7,M9,a11,M13,d13
7-5add13(9,-11,--13)	P1,M3,d5,m7,M9,m11,M13,d13
7-5add13(9,--11,--13)	P1,M3,d5,m7,M9,d11,M13,d13
7-5add13(+9,11,--13)	P1,M3,d5,m7,a9,M11,M13,d13
7-5add13(+9,+11,--13)	P1,M3,d5,m7,a9,a11,M13,d13
7-5add13(+9,-11,--13)	P1,M3,d5,m7,a9,m11,M13,d13
7-5add13(+9,--11,--13)	P1,M3,d5,m7,a9,d11,M13,d13
7-5add13(-9,11,--13)	P1,M3,d5,m7,m9,M11,M13,d13
7-5add13(-9,+11,--13)	P1,M3,d5,m7,m9,a11,M13,d13
7-5add13(-9,-11,--13)	P1,M3,d5,m7,m9,m11,M13,d13
7-5add13(-9,--11,--13)	P1,M3,d5,m7,m9,d11,M13,d13
7-5add13(--9,11,--13)	P1,M3,d5,m7,d9,M11,M13,d13
7-5add13(--9,+11,--13)	P1,M3,d5,m7,d9,a11,M13,d13
7-5add13(--9,-11,--13)	P1,M3,d5,m7,d9,m11,M13,d13
7-5add13(--9,--11,--13)	P1,M3,d5,m7,d9,d11,M13,d13
7-5sus2(9)	P1,M2,d5,m7,M9
7-5sus2(+9)	P1,M2,d5,m7,a9
7-5sus2(-9)	P1,M2,d5,m7,m9
7-5sus2(--9)	P1,M2,d5,m7,d9
7-5sus2(11)	P1,M2,d5,m7,M11
7-5sus2(+11)	P1,M2,d5,m7,a11
7-5sus2(-11)	P1,M2,d5,m7,m11
7-5sus2(--11)	P1,M2,d5,m7,d11
7-5sus2(13)	P1,M2,d5,m7,M13
7-5sus2(+13)	P1,M2,d5,m7,a13
7-5sus2(-13)	P1,M2,d5,m7,m13
7-5sus2(--13)	P1,M2,d5,m7,d13
7-5sus2(9,11)	P1,M2,d5,m7,M9,M11
7-5sus2(9,+11)	P1,M2,d5,m7,M9,a11
7-5sus2(9,-11)	P1,M2,d5,m7,M9,m11
7-5sus2(9,--11)	P1,M2,d5,m7,M9,d11
7-5sus2(9,13)	P1,M2,d5,m7,M9,M13
7-5sus2(9,+13)	P1,M2,d5,m7,M9,a13
7-5sus2(9,-13)	P1,M2,d5,m7,M9,m13
7-5sus2(9,--13)	P1,M2,d5,m7,M9,d13
7-5sus2(+9,11)	P1,M2,d5,m7,a9,M11
7-5sus2(+9,+11)	P1,M2,d5,m7,a9,a11
7-5sus2(+9,-11)	P1,M2,d5,m7,a9,m11
7-5sus2(+9,--11)	P1,M2,d5,m7,a9,d11
7-5sus2(+9,13)	P1,M2,d5,m7,a9,M13
7-5sus2(+9,+13)	P1,M2,d5,m7,a9,a13
7-5sus2(+9,-13)	P1,M2,d5,m7,a9,m13
7-5sus2(+9,--13)	P1,M2,d5,m7,a9,d13
7-5sus2(-9,11)	P1,M2,d5,m7,m9,M11
7-5sus2(-9,+11)	P1,M2,d5,m7,m9,a11
7-5sus2(-9,-11)	P1,M2,d5,m7,m9,m11
7-5sus2(-9,--11)	P1,M2,d5,m7,m9,d11
7-5sus2(-9,13)	P1,M2,d5,m7,m9,M13
7-5sus2(-9,+13)	P1,M2,d5,m7,m9,a13
7-5sus2(-9,-13)	P1,M2,d5,m7,m9,m13
7-5sus2(-9,--13)	P1,M2,d5,m7,m9,d13
7-5sus2(--9,11)	P1,M2,d5,m7,d9,M11
7-5sus2(--9,+11)	P1,M2,d5,m7,d9,a11
7-5sus2(--9,-11)	P1,M2,d5,m7,d9,m11
7-5sus2(--9,--11)	P1,M2,d5,m7,d9,d11
7-5sus2(--9,13)	P1,M2,d5,m7,d9,M13
7-5sus2(--9,+13)	P1,M2,d5,m7,d9,a13
7-5sus2(--9,-13)	P1,M2,d5,m7,d9,m13
7-5sus2(--9,--13)	P1,M2,d5,m7,d9,d13
7-5sus2(11,13)	P1,M2,d5,m7,M11,M13
7-5sus2(11,+13)	P1,M2,d5,m7,M11,a13
7-5sus2(11,-13)	P1,M2,d5,m7,M11,m13
7-5sus2(11,--13)	P1,M2,d5,m7,M11,d13
7-5sus2(+11,13)	P1,M2,d5,m7,a11,M13
7-5sus2(+11,+13)	P1,M2,d5,m7,a11,a13
7-5sus2(+11,-13)	P1,M2,d5,m7,a11,m13
7-5sus2(+11,--13)	P1,M2,d5,m7,a11,d13
7-5sus2(-11,13)	P1,M2,d5,m7,m11,M13
7-5sus2(-11,+13)	P1,M2,d5,m7,m11,a13
7-5sus2(-11,-13)	P1,M2,d5,m7,m11,m13
7-5sus2(-11,--13)	P1,M2,d5,m7,m11,d13
7-5sus2(--11,13)	P1,M2,d5,m7,d11,M13
7-5sus2(--11,+13)	P1,M2,d5,m7,d11,a13
7-5sus2(--11,-13)	P1,M2,d5,m7,d11,m13
7-5sus2(--11,--13)	P1,M2,d5,m7,d11,d13
7-5sus2(9,11,13)	P1,M2,d5,m7,M9,M11,M13
7-5sus2(9,11,+13)	P1,M2,d5,m7,M9,M11,a13
7-5sus2(9,11,-13)	P1,M2,d5,m7,M9,M11,m13
7-5sus2(9,11,--13)	P1,M2,d5,m7,M9,M11,d13
7-5sus2(9,+11,13)	P1,M2,d5,m7,M9,a11,M13
7-5sus2(9,+11,+13)	P1,M2,d5,m7,M9,a11,a13
7-5sus2(9,+11,-13)	P1,M2,d5,m7,M9,a11,m13
7-5sus2(9,+11,--13)	P1,M2,d5,m7,M9,a11,d13
7-5sus2(9,-11,13)	P1,M2,d5,m7,M9,m11,M13
7-5sus2(9,-11,+13)	P1,M2,d5,m7,M9,m11,a13
7-5sus2(9,-11,-13)	P1,M2,d5,m7,M9,m11,m13
7-5sus2(9,-11,--13)	P1,M2,d5,m7,M9,m11,d13
7-5sus2(9,--11,13)	P1,M2,d5,m7,M9,d11,M13
7-5sus2(9,--11,+13)	P1,M2,d5,m7,M9,d11,a13
7-5sus2(9,--11,-13)	P1,M2,d5,m7,M9,d11,m13
7-5sus2(9,--11,--13)	P1,M2,d5,m7,M9,d11,d13
7-5sus2(+9,11,13)	P1,M2,d5,m7,a9,M11,M13
7-5sus2(+9,11,+13)	P1,M2,d5,m7,a9,M11,a13
7-5sus2(+9,11,-13)	P1,M2,d5,m7,a9,M11,m13
7-5sus2(+9,11,--13)	P1,M2,d5,m7,a9,M11,d13
7-5sus2(+9,+11,13)	P1,M2,d5,m7,a9,a11,M13
7-5sus2(+9,+11,+13)	P1,M2,d5,m7,a9,a11,a13
7-5sus2(+9,+11,-13)	P1,M2,d5,m7,a9,a11,m13
7-5sus2(+9,+11,--13)	P1,M2,d5,m7,a9,a11,d13
7-5sus2(+9,-11,13)	P1,M2,d5,m7,a9,m11,M13
7-5sus2(+9,-11,+13)	P1,M2,d5,m7,a9,m11,a13
7-5sus2(+9,-11,-13)	P1,M2,d5,m7,a9,m11,m13
7-5sus2(+9,-11,--13)	P1,M2,d5,m7,a9,m11,d13
7-5sus2(+9,--11,13)	P1,M2,d5,m7,a9,d11,M13
7-5sus2(+9,--11,+13)	P1,M2,d5,m7,a9,d11,a13
7-5sus2(+9,--11,-13)	P1,M2,d5,m7,a9,d11,m13
7-5sus2(+9,--11,--13)	P1,M2,d5,m7,a9,d11,d13
7-5sus2(-9,11,13)	P1,M2,d5,m7,m9,M11,M13
7-5sus2(-9,11,+13)	P1,M2,d5,m7,m9,M11,a13
7-5sus2(-9,11,-13)	P1,M2,d5,m7,m9,M11,m13
7-5sus2(-9,11,--13)	P1,M2,d5,m7,m9,M11,d13
7-5sus2(-9,+11,13)	P1,M2,d5,m7,m9,a11,M13
7-5sus2(-9,+11,+13)	P1,M2,d5,m7,m9,a11,a13
7-5sus2(-9,+11,-13)	P1,M2,d5,m7,m9,a11,m13
7-5sus2(-9,+11,--13)	P1,M2,d5,m7,m9,a11,d13
7-5sus2(-9,-11,13)	P1,M2,d5,m7,m9,m11,M13
7-5sus2(-9,-11,+13)	P1,M2,d5,m7,m9,m11,a13
7-5sus2(-9,-11,-13)	P1,M2,d5,m7,m9,m11,m13
7-5sus2(-9,-11,--13)	P1,M2,d5,m7,m9,m11,d13
7-5sus2(-9,--11,13)	P1,M2,d5,m7,m9,d11,M13
7-5sus2(-9,--11,+13)	P1,M2,d5,m7,m9,d11,a13
7-5sus2(-9,--11,-13)	P1,M2,d5,m7,m9,d11,m13
7-5sus2(-9,--11,--13)	P1,M2,d5,m7,m9,d11,d13
7-5sus2(--9,11,13)	P1,M2,d5,m7,d9,M11,M13
7-5sus2(--9,11,+13)	P1,M2,d5,m7,d9,M11,a13
7-5sus2(--9,11,-13)	P1,M2,d5,m7,d9,M11,m13
7-5sus2(--9,11,--13)	P1,M2,d5,m7,d9,M11,d13
7-5sus2(--9,+11,13)	P1,M2,d5,m7,d9,a11,M13
7-5sus2(--9,+11,+13)	P1,M2,d5,m7,d9,a11,a13
7-5sus2(--9,+11,-13)	P1,M2,d5,m7,d9,a11,m13
7-5sus2(--9,+11,--13)	P1,M2,d5,m7,d9,a11,d13
7-5sus2(--9,-11,13)	P1,M2,d5,m7,d9,m11,M13
7-5sus2(--9,-11,+13)	P1,M2,d5,m7,d9,m11,a13
7-5sus2(--9,-11,-13)	P1,M2,d5,m7,d9,m11,m13
7-5sus2(--9,-11,--13)	P1,M2,d5,m7,d9,m11,d13
7-5sus2(--9,--11,13)	P1,M2,d5,m7,d9,d11,M13
7-5sus2(--9,--11,+13)	P1,M2,d5,m7,d9,d11,a13
7-5sus2(--9,--11,-13)	P1,M2,d5,m7,d9,d11,m13
7-5sus2(--9,--11,--13)	P1,M2,d5,m7,d9,d11,d13
7-5sus2add4(9)	P1,M2,M4,d5,m7,M9
7-5sus2add4(+9)	P1,M2,M4,d5,m7,a9
7-5sus2add4(-9)	P1,M2,M4,d5,m7,m9
7-5sus2add4(--9)	P1,M2,M4,d5,m7,d9
7-5sus2add4(11)	P1,M2,M4,d5,m7,M11
7-5sus2add4(+11)	P1,M2,M4,d5,m7,a11
7-5sus2add4(-11)	P1,M2,M4,d5,m7,m11
7-5sus2add4(--11)	P1,M2,M4,d5,m7,d11
7-5sus2add4(13)	P1,M2,M4,d5,m7,M13
7-5sus2add4(+13)	P1,M2,M4,d5,m7,a13
7-5sus2add4(-13)	P1,M2,M4,d5,m7,m13
7-5sus2add4(--13)	P1,M2,M4,d5,m7,d13
7-5sus2add4(9,11)	P1,M2,M4,d5,m7,M9,M11
7-5sus2add4(9,+11)	P1,M2,M4,d5,m7,M9,a11
7-5sus2add4(9,-11)	P1,M2,M4,d5,m7,M9,m11
7-5sus2add4(9,--11)	P1,M2,M4,d5,m7,M9,d11
7-5sus2add4(9,13)	P1,M2,M4,d5,m7,M9,M13
7-5sus2add4(9,+13)	P1,M2,M4,d5,m7,M9,a13
7-5sus2add4(9,-13)	P1,M2,M4,d5,m7,M9,m13
7-5sus2add4(9,--13)	P1,M2,M4,d5,m7,M9,d13
7-5sus2add4(+9,11)	P1,M2,M4,d5,m7,a9,M11
7-5sus2add4(+9,+11)	P1,M2,M4,d5,m7,a9,a11
7-5sus2add4(+9,-11)	P1,M2,M4,d5,m7,a9,m11
7-5sus2add4(+9,--11)	P1,M2,M4,d5,m7,a9,d11
7-5sus2add4(+9,13)	P1,M2,M4,d5,m7,a9,M13
7-5sus2add4(+9,+13)	P1,M2,M4,d5,m7,a9,a13
7-5sus2add4(+9,-13)	P1,M2,M4,d5,m7,a9,m13
7-5sus2add4(+9,--13)	P1,M2,M4,d5,m7,a9,d13
7-5sus2add4(-9,11)	P1,M2,M4,d5,m7,m9,M11
7-5sus2add4(-9,+11)	P1,M2,M4,d5,m7,m9,a11
7-5sus2add4(-9,-11)	P1,M2,M4,d5,m7,m9,m11
7-5sus2add4(-9,--11)	P1,M2,M4,d5,m7,m9,d11
7-5sus2add4(-9,13)	P1,M2,M4,d5,m7,m9,M13
7-5sus2add4(-9,+13)	P1,M2,M4,d5,m7,m9,a13
7-5sus2add4(-9,-13)	P1,M2,M4,d5,m7,m9,m13
7-5sus2add4(-9,--13)	P1,M2,M4,d5,m7,m9,d13
7-5sus2add4(--9,11)	P1,M2,M4,d5,m7,d9,M11
7-5sus2add4(--9,+11)	P1,M2,M4,d5,m7,d9,a11
7-5sus2add4(--9,-11)	P1,M2,M4,d5,m7,d9,m11
7-5sus2add4(--9,--11)	P1,M2,M4,d5,m7,d9,d11
7-5sus2add4(--9,13)	P1,M2,M4,d5,m7,d9,M13
7-5sus2add4(--9,+13)	P1,M2,M4,d5,m7,d9,a13
7-5sus2add4(--9,-13)	P1,M2,M4,d5,m7,d9,m13
7-5sus2add4(--9,--13)	P1,M2,M4,d5,m7,d9,d13
7-5sus2add4(11,13)	P1,M2,M4,d5,m7,M11,M13
